Game,Time,GrSubject,BR1,BR2,BR3,twdbr1,twdbr2,twdbr3
31,11,2,12.8157215,96.28697,5.89731,1,0,1
31,11,3,17.053177,25.229385,72.71744,0,0,0
31,12,1,95.9289,22.297379,-3.2262769,1,1,1
31,12,2,22.378391,95.156746,-2.5351334,1,0,0
31,12,3,19.706053,21.684027,73.609924,0,1,0
31,13,1,89.35339,21.80974,3.8368652,1,0,1
31,13,2,32.11492,90.40658,-7.521498,1,1,1
31,13,3,31.234438,8.886971,74.87859,0,1,1
31,14,1,90.517845,25.652197,-1.1700414,1,0,0
31,14,2,23.836395,92.407295,-1.243691,1,0,1
31,14,3,19.44562,21.529734,74.02465,1,1,1
31,15,1,100.25484,19.393106,-4.647943,1,1,1
31,15,2,28.274082,73.67403,13.051892,1,0,1
31,15,3,17.365162,21.588358,76.04648,1,0,1
31,16,1,96.0605,23.150421,-4.210925,0,0,0
31,16,2,21.968294,94.767876,-1.7361698,0,0,0
31,16,3,21.51016,27.464876,66.02496,1,1,1
31,17,1,101.065125,7.2998343,6.63504,1,1,0
31,17,2,16.739845,96.62197,1.6381865,1,1,1
31,17,3,25.796436,10.210658,78.992905,0,1,0
31,18,1,95.13656,19.996206,-0.13276362,1,0,0
31,18,2,20.556076,90.70049,3.7434323,0,0,0
31,18,3,15.822995,19.71378,79.46323,1,0,0
31,19,1,103.85999,13.03293,-1.8929261,1,0,1
31,19,2,18.730646,93.98221,2.2871435,0,1,0
31,19,3,33.705097,22.168135,59.12677,1,1,0
31,20,1,102.645195,12.836862,-0.48205873,1,0,0
31,20,2,23.35581,94.40408,-2.7598953,0,1,0
31,20,3,19.90197,11.930272,83.167755,1,0,1
31,21,1,102.14783,13.531203,-0.67903334,1,0,0
31,21,2,28.683699,82.85699,3.4593112,0,1,0
31,21,3,19.90197,11.930272,83.167755,0,0,1
32,2,1,101.02,4.89,9.09,0,0,0
32,2,2,23.965,92.12,-1.085,0,1,1
32,2,3,26.938671,-2.3113291,90.37266,0,1,1
32,3,1,105.25,11.25,-1.5,1,0,1
32,3,2,24.77375,89.265,0.96125,1,1,1
32,3,3,22.58875,11.52625,80.885,1,1,1
32,4,1,95.4225,0.1325,19.445,1,0,1
32,4,2,7.6934376,86.81625,20.490313,1,1,1
32,4,3,29.260733,22.745108,62.99416,1,1,1
32,5,1,93.44063,4.615625,16.94375,1,1,1
32,5,2,13.321796,89.42281,12.25539,0,1,0
32,5,3,14.933359,17.570078,82.49656,0,1,1
32,6,1,93.44063,4.615625,16.94375,0,0,0
32,6,2,13.6325,86.281876,15.085625,0,1,1
32,6,3,20.989613,13.6068,80.40359,1,0,1
32,7,1,69.533745,17.987032,27.47922,1,1,1
32,7,2,0.8225,89.40188,24.775625,1,1,1
32,7,3,7.1107955,19.392046,88.49716,0,1,1
32,8,1,92.23875,5.322031,17.439219,0,0,1
32,8,2,18.055977,85.643906,11.3001175,1,1,1
32,8,3,19.343712,10.958945,84.69734,0,0,1
32,9,1,94.48426,9.5379,10.977841,1,1,1
32,9,2,-3.5083985,90.61641,27.891993,0,1,1
32,9,3,6.410028,30.191767,78.39821,0,1,0
32,10,1,94.48426,9.5379,10.977841,0,0,0
32,10,2,12.330569,87.85778,14.811648,1,1,0
32,10,3,17.140495,17.341545,80.51796,0,1,1
32,11,1,93.46273,9.644049,11.893225,1,1,1
32,11,2,8.040569,88.93778,18.021648,1,0,0
32,11,3,12.228615,23.7389,79.032486,0,1,0
32,12,1,92.932724,8.596548,13.470724,1,1,1
32,12,2,14.402106,87.2624,13.335494,1,0,1
32,12,3,26.262974,27.44595,61.291077,1,1,0
32,13,1,94.22888,7.8294325,12.941686,1,0,0
32,13,2,18.771204,85.36796,10.860841,0,1,1
32,13,3,23.80949,11.074292,80.11622,1,0,1
32,14,1,94.407005,10.470839,10.122154,0,1,1
32,14,2,18.771204,85.36796,10.860841,0,1,0
32,14,3,23.62902,12.932886,78.438095,1,0,0
32,15,1,94.407005,10.470839,10.122154,0,0,0
32,15,2,16.721304,87.02347,11.255226,1,1,0
32,15,3,21.115448,15.475029,78.40952,1,1,0
32,16,1,94.08915,10.699232,10.211619,0,0,0
32,16,2,14.596304,87.52347,12.880226,1,0,0
32,16,3,28.78447,28.255121,57.96041,1,1,0
32,17,1,93.82415,9.987982,11.187869,1,1,1
32,17,2,10.328402,88.59401,16.077593,0,1,0
32,17,3,21.535086,28.72797,64.736946,1,1,0
32,18,1,93.82415,9.987982,11.187869,0,0,0
32,18,2,14.367793,87.593346,13.038858,0,1,0
32,18,3,17.765448,17.036457,80.1981,0,1,1
32,19,1,93.82415,9.987982,11.187869,1,1,1
32,19,2,5.8955894,89.53776,19.566654,0,1,1
32,19,3,8.785448,23.056458,83.1581,0,1,1
32,20,1,93.82415,9.987982,11.187869,1,1,1
32,20,2,16.228088,86.947754,11.824155,0,0,1
32,20,3,19.551327,15.7473345,79.70134,0,1,0
32,21,1,94.16022,9.780929,11.058851,0,0,0
32,21,2,17.025589,86.777756,11.196654,1,1,1
32,21,3,21.264465,14.61351,79.122025,1,1,0
32,22,1,94.02772,11.150304,9.821977,1,1,1
